timestamp,action,qty,price,pnl
1772045400,entry,3,15.500000,-0.300000
1772045820,exit,-1,19.500000,3.900000
1772045880,exit,-1,16.000000,0.400000
1772046060,exit,-1,16.500000,0.900000
1772046240,entry,-3,16.000000,-0.300000
1772047140,exit,1,16.000000,-0.100000
1772047860,exit,1,13.500000,2.400000
1772048520,exit,1,10.500000,5.400000
1772049180,entry,3,6.500000,-0.300000
1772051460,stop_loss,-3,4.500000,-6.300000
1772062260,entry,-3,6.500000,-0.300000
1772062380,stop_loss,3,8.500000,-6.300000
1772072340,entry,-3,5.500000,-0.300000
1772072520,stop_loss,3,9.000000,-10.800000
1772082060,entry,-3,4.500000,-0.300000
1772082120,stop_loss,3,13.500000,-27.300000
1772082300,entry,-3,25.000000,-0.300000
1772082360,exit,1,19.500000,5.400000
1772082420,stop_loss,2,29.500000,-9.200000
1772082660,entry,-3,27.500000,-0.300000
1772084340,exit,1,22.500000,4.900000
1772084400,exit,1,15.000000,12.400000
1772084460,exit,1,10.500000,16.900000
1772085780,entry,3,11.500000,-0.300000
1772085840,exit,-1,16.500000,4.900000
1772086020,exit,-1,14.500000,2.900000
1772086140,exit,-1,14.500000,2.900000
1772088900,entry,-3,27.000000,-0.300000
1772089020,exit,1,26.500000,0.400000
1772089200,exit,1,11.500000,15.400000
1772089440,exit,1,15.500000,11.400000
1772090040,entry,-3,39.000000,-0.300000
1772090160,exit,1,36.500000,2.400000
1772090220,exit,1,32.500000,6.400000
1772090280,exit,1,23.500000,15.400000
1772108520,entry,-3,14.000000,-0.300000
1772108940,stop_loss,3,17.000000,-9.300000
1772109180,entry,-3,15.500000,-0.300000
1772109300,stop_loss,3,19.500000,-12.300000
1772109780,entry,-3,15.500000,-0.300000
1772109960,stop_loss,3,20.500000,-15.300000
1772112300,entry,-3,20.500000,-0.300000
1772112360,stop_loss,3,26.000000,-16.800000
1772112600,entry,-3,25.500000,-0.300000
1772112660,stop_loss,3,30.500000,-15.300000
1772112960,entry,-3,25.500000,-0.300000
1772113020,stop_loss,3,30.500000,-15.300000
1772113500,entry,-3,31.000000,-0.300000
1772113560,exit,1,29.500000,1.400000
1772113680,stop_loss,2,40.500000,-19.200000
1772118060,entry,-3,16.500000,-0.300000
1772118120,stop_loss,3,25.500000,-27.300000
1772118480,entry,-3,35.500000,-0.300000
1772118660,exit,1,19.000000,16.400000
1772118720,exit,1,18.500000,16.900000
1772118960,stop_loss,1,37.500000,-2.100000
1772119860,entry,-3,44.500000,-0.300000
1772120040,stop_loss,3,49.500000,-15.300000
1772124420,entry,-3,53.000000,-0.300000
1772124480,exit,1,50.500000,2.400000
1772124540,stop_loss,2,61.500000,-17.200000
1772147280,entry,-3,18.000000,-0.300000
1772147340,stop_loss,3,100.000000,-246.300000
1772147460,entry,-3,18.000000,-0.300000
1772147520,stop_loss,3,100.000000,-246.300000
1772147700,entry,-3,18.000000,-0.300000
1772147700,stop_loss,3,100.000000,-246.300000
1772154900,entry,3,19.000000,-0.300000
1772155860,exit,-1,19.500000,0.400000
1772155920,exit,-1,20.000000,0.900000
1772155980,exit,-1,20.000000,0.900000
1772159880,entry,-3,19.500000,-0.300000
1772161320,stop_loss,3,21.500000,-6.300000
1772164560,entry,-3,21.000000,-0.300000
1772164680,exit,1,21.000000,-0.100000
1772165520,exit,1,19.500000,1.400000
1772165580,exit,1,19.500000,1.400000
1772168520,entry,-3,20.500000,-0.300000
1772168580,exit,1,17.500000,2.900000
1772168640,exit,1,20.000000,0.400000
1772168880,exit,1,19.500000,0.900000
1772171820,entry,3,18.500000,-0.300000
1772171940,stop_loss,-3,15.500000,-9.300000
1772172060,entry,3,21.000000,-0.300000
1772172240,stop_loss,-3,19.000000,-6.300000
1772173380,entry,3,17.000000,-0.300000
1772173500,exit,-1,17.000000,-0.100000
1772173620,exit,-1,19.000000,1.900000
1772173680,exit,-1,19.000000,1.900000
1772175600,entry,-3,22.000000,-0.300000
1772175840,exit,1,22.000000,-0.100000
1772176680,stop_loss,2,27.000000,-10.200000
1772176920,entry,-3,26.500000,-0.300000
1772177820,exit,1,26.500000,-0.100000
1772177880,exit,1,24.500000,1.900000
1772178060,exit,1,25.000000,1.400000
1772185560,entry,-3,27.000000,-0.300000
1772185620,exit,1,27.000000,-0.100000
1772186700,stop_loss,2,29.000000,-4.200000
1772187060,entry,-3,26.500000,-0.300000
1772187420,exit,1,26.500000,-0.100000
1772187720,exit,1,26.000000,0.400000
1772187780,exit,1,25.500000,0.900000
1772192700,entry,3,20.500000,-0.300000
1772192760,stop_loss,-3,18.000000,-7.800000
1772196180,entry,-3,31.500000,-0.300000
1772196300,exit,1,31.500000,-0.100000
1772196840,stop_loss,2,33.500000,-4.200000
1772204460,entry,3,57.500000,-0.300000
1772204460,stop_loss,-3,21.000000,-109.800000
1772208360,entry,-3,21.000000,-0.300000
1772208360,stop_loss,3,31.000000,-30.300000
1772208420,entry,-3,21.500000,-0.300000
